Banner ID,Merchant Name,Allow String Matching,Tax id,Disallow string match,Nix if Multiple matches,Prefer if multple matches,Allow on top of receipt only,Match against addresses,Country,Logo-Text_Merchant_Name
106,Marathon Oil,Marathon,,,,,,,US,
108,CHEVRON,Chevron,,,,,,,US,CHEVRON
109,Pilot Travel Centers,PILOT,,,,,,,US,Pilot Travel Centers
110,MURPHY USA,MURPHY USA,,,,,,,US,MURPHY USA
111,Love's Travel Stop,LOVES TRAVEL;LOVE'S TRAVEL,,,,,,,US,Love's Travel Stop
113,Stripes Convenience Stores,STRIPES,,,,,,,US,Stripes Convenience Stores
114,Allsup's,|ALLSUP|,,,,,,,US,
115,Maverik,MAVERIK ADVENTURE;|Maverik|,,,,,,,US,Maverik
116,MAPCO Express,MAPCO MART,,,,,,,US,
123,Kangaroo Express,Kangaroo,,,,,,,US,
124,Piggly Wiggly,Piggly Wiggly;shopthepig.com,,,,,,,US,Piggly Wiggly
135,Turkey Hill Minit Market,Turkeyhillstores.com,,,,,,,US,Turkey Hill Minit Market
138,Cash Saver,CASH SAVER,,,,,,,US,Cash Saver
139,Save Mart,SAVE MART,,,,,,,US,Save Mart
141,BI-LO,Bi-LO,,,,,,,US,BI-LO
142,Food Lion,Food Lion,,,,,,,US,Food Lion
143,Rite Aid,Rite Aid,,,,,,,US,Rite Aid
144,Giant Eagle,Giant Eagle,,,YES,,,,US,Giant Eagle
145,Weis Markets,Weis Markets,,,,,,,US,Weis Markets
146,Food City,FOOD CITY;F0OD CITY;FO0D CITY;F00D CITY,,Gas N Go;SEAFOOD CITY,YES,,,,US,Food City
147,Big Y,|BIG Y|,,,,,,,US,Big Y
148,Lowes Foods,|LOWES|,,,,,,,US,
150,Redner's Markets,REDNERS,,,,,,,US,Redner's Markets
152,Pick 'n Save,PICK N SAVE:PICK N' SAVE,,,,,,,US,Pick 'n Save
153,Raley's Supermarkets,RALEYS,,|NOB HILL|,,,,,US,Raley's Supermarkets
154,getGo,GETGO,,,,YES,,,US,GetGo
156,Homeland,HOMELAND,,Homeland Security,,,,,US,Homeland
158,Mariano's,MARIANO'S;MARIANO'S,,,,,,,US,Mariano's
159,Bel Air,BEL AIR,,,,,,,US,BEL AIR
160,Hannaford,HANNAFORD,,,,,,,US,Hannaford
161,Family Fare Supermarkets,Family Fare,,,,,,,US,Family Fare Supermarkets
162,County Market,COUNTRY MARKET,,,,,,,US,County Market
163,Shop 'n Save,SHOP 'N SAVE;SHOP N SAVE,,,,,,,US,Shop 'n Save
164,Copps,|Copps|,,,,,,,US,Copps
165,Family Dollar,Family Dollar,,,,,,,US,Family Dollar
167,Bashas' Supermarkets,BASHAS,,,,,,,US,Bashas' Supermarkets
168,Fareway,FAREWAY,,,,,,,US,Fareway
169,Nob Hill Foods,|NOB HILL|,,,,,,,US,Nob Hill Foods
171,Sephora,Sephora,,,,,,,US,Sephora
175,Thorntons,THORNTONS,,,,,,,US,Thorntons
177,Best Buy,BEST BUY,,BEST BUY SAVINGS,,,,,US,Best Buy
178,Farm Fresh,FARM FRESH,,,,,,,US,Farm Fresh
179,Aeropostale,AEROPOSTALE,,,,,,,US,AEROPOSTALE
5677,ABC Fine Wine & Spirits,ABC FINE WINE,,,,,,,US,ABC Fine Wine & Spirits
5913,Burkes Outlet,burkes,,,,,,,US,Burkes Outlet
5929,Kohls,KOHL'S;KOHLS,,,,,,,US,Kohls
5933,99 Cents Only Stores,tell99.com,,,,,,,US,99 Cents Only Stores
5934,Big Lots,Big Lots,,,,,,,US,Big Lots
5940,Roses,Rosesdiscount;roses express,,,,,,,US,Roses
5944,Ollie's Bargain Outlet,|OLLIES|;OLLIE'S,,,,,,,US,Ollie's Bargain Outlet
5986,Mills Fleet Farm,MILLS FLEET FARM,,,,,,,US,Mills Fleet Farm
5989,Rural King,RURAL KING,,,,,,,US,Rural King
6054,Navy Exchange,NAVY EXCHANGE,,,,,,,US,Navy Exchange
6061,Shopko,|SHOPKO|,,,,,,,US,Shopko
6062,Kmart,|KMART|;K-MART,,,,,,,US,Kmart
6072,Michaels Stores,Shopping at MICHAELS;MICHAELS STORE;michaels.com,,,,,,,US,Michaels Stores
6087,Ace Hardware,ACE HARDWARE;ACE REWARDS;Ace home,,,,,,,US,Ace Hardware
6102,Menards,MENARDS,,,,,,,US,Menards
6104,Orchard Supply Hardware,ORCHARD SUPPLY,,,,,,,US,
6118,Goodwill,GOODWILL,,,,,,,US,Goodwill
6146,Petco,|PETCO|,,,,,,,US,Petco
6152,PetSmart,Petsmart,,,,,,,US,PetSmart
6191,Braum's Ice Cream and Dairy Stores,BRAUM'S;BRAUMS,,,,,,,US,Braum's Ice Cream and Dairy Stores
6217,Checkers Drive-In Restaurants,CHECKERS,,,,,,,US,
6226,Harveys,Harveys,,,,,,,US,Harveys
6229,In-N-Out Burger,IN-N-OUT,,,,,,,US,In-N-Out Burger
6265,McDonald's,MCDONALD'S;MCDONALDS;MCDVOICE;Mcdonald;www.mcd;McMuffin;wwwmcd;mcdoralds;McConald;Mcronald;McDcnald,,Ship to;shipments,,,,,US,McDonald's
6398,Ann Taylor,ANN TAYLOR,,,,,,,US,
6589,Associated Supermarkets,Associated,,,,,,,US,Associated Supermarkets
6677,Starbucks,STARBUCKS Rewards;Starbucks.com;|Starbucks|;SBUX Card,,,,,,,US,Starbucks
6692,Caribou Coffee,CARIBOU COFF,,,,,,,US,
6705,Cumberland Farms,CUMBERLAND F,,,,,,,US,Cumberland Farms
6709,Discount Food Mart,DISCOUNT DRUG MART,,,,,,,US,
6725,QuickChek,Quick Chek,,,,,,,US,QuickChek
6728,Royal Farms,Royal Farms,,,,,,,US,Royal Farms
6732,Stewart's Shops,Stewarts,,,,,,,US,
6737,SuperAmerica,SUPER AMERICA,,,,,,,US,SuperAmerica
6745,7-Eleven,7 - ELEVEN;7 ELEVEN;7-ELEVEM;7-EL EVIEN,,,,YES,,,US,7-Eleven
6752,E-Z Mart,E-Z MART;EZ MART,,,,,,,US,E-Z Mart
6788,Dillard's,Dillards;Dillard's,,,,,,,US,Dillard's
6802,Macy's,MACY's;MACYS,,,,,,,US,Macy's
6822,Cinnabon,CINNABON,,,,,,,US,
6881,Super Dollar,Super Dollar,,,,,,,US,Super Dollar
6884,ALDI,|Aldi|;.Aldi.;www.Aldi;Aldi.us,,,,,,,US,ALDI
6892,Discount Drug Mart,DISCOUNT DRUG MART,,,,,,,US,Discount Drug Mart
7205,ARCO,|ARCO|,,,,,,,US,ARCO
7206,BP,|BP|,,,YES,,,,US,
7218,EXXON,Exxon;mobilvisit,,,,,,,US,EXXON
7365,IHOP,|IHOP|,,,,,,,US,IHOP
7413,Olive Garden,OLIVE GARDEN;www.ogtogo;wwwogtogo,,,,,,,US,Olive Garden
7437,Red Robin Gourmet Burgers,RED ROBIN,,,,,,,US,Red Robin Gourmet Burgers
7485,TGI Fridays,TGI FRIDAY'S;TGI FRIDAYS,,,,,,,US,
7504,Cracker Barrel,CRACKER BARREL,,,,,,,US,CRACKER BARREL
7567,Fairway Market,FAIRWAY,,FAIRWAY DR,,,,,US,Fairway Market
7569,99 Ranch Market,99 RANCH,,,,,,,US,99 Ranch Market
7592,BI - MART,BI - Mart,,,,,,,US,BI - MART
7595,Brookshire Brothers,BROOKSHIRE BROTHERS,,,,,,,US,Brookshire Brothers
7680,Harveys Supermarket,harveyssupermarkets,,,,,,,US,Harveys Supermarket
7596,Brookshire Grocery Company,BROOKSHIRE'S;BROOKSHIRES,,,,,,,US,Brookshire Grocery Company
7598,C Town Supermarkets,C-TOWN,,,,,,,US,C Town Supermarkets
7600,Cardenas Markets,CARDENAS,,,,,,,US,Cardenas Markets
7603,Cash&Carry Smart Foodservice,smartfoodservice;cash & carry,,,,,,,US,Cash&Carry Smart Foodservice
7605,Cash Wise,CASH WISE,,,,,,,US,Cash Wise
7606,Central Market,Cental Market,,,,,,,US,Central Market
7609,Coborns,COBORNS;COBORN'S,,,,,,,US,Coborns
7612,Compare Foods,Compare Foods,,,,,,,US,Compare Foods
7617,Cub Foods,cub.com;Cub Foods;cublistens,,,,,,,US,Cub Foods
7620,D&W Fresh Market,D&W,,,,,,,US,D&W Fresh Market
7623,Dave's Marketplace,Dave's Market;davesmarket,,,,,,,US,Dave's Marketplace
7627,Dierbergs Markets,Dierbergs,,,,,,,US,Dierbergs Markets
7632,Earth Fare,Earth Fare,,,,,,,US,Earth Fare
